INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,VALUE,OPR_INTERVAL,GROUP
2025-04-21T09:00:00-00:00,2025-04-21T09:05:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,1,1
2025-04-21T09:05:00-00:00,2025-04-21T09:10:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,2,1
2025-04-21T09:10:00-00:00,2025-04-21T09:15:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,3,1
2025-04-21T09:15:00-00:00,2025-04-21T09:20:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,4,1
2025-04-21T09:20:00-00:00,2025-04-21T09:25:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,5,1
2025-04-21T09:25:00-00:00,2025-04-21T09:30:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,6,1
2025-04-21T09:30:00-00:00,2025-04-21T09:35:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,7,1
2025-04-21T09:35:00-00:00,2025-04-21T09:40:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,8,1
2025-04-21T09:40:00-00:00,2025-04-21T09:45:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,9,1
2025-04-21T09:45:00-00:00,2025-04-21T09:50:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,10,1
2025-04-21T09:50:00-00:00,2025-04-21T09:55:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,11,1
2025-04-21T09:55:00-00:00,2025-04-21T10:00:00-00:00,2025-04-21,03,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,12,1
2025-04-21T10:00:00-00:00,2025-04-21T10:05:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,1,1
2025-04-21T10:05:00-00:00,2025-04-21T10:10:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,2,1
2025-04-21T10:10:00-00:00,2025-04-21T10:15:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,3,1
2025-04-21T10:15:00-00:00,2025-04-21T10:20:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,4,1
2025-04-21T10:20:00-00:00,2025-04-21T10:25:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,5,1
2025-04-21T10:25:00-00:00,2025-04-21T10:30:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,6,1
2025-04-21T10:30:00-00:00,2025-04-21T10:35:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,7,1
2025-04-21T10:35:00-00:00,2025-04-21T10:40:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,8,1
2025-04-21T10:40:00-00:00,2025-04-21T10:45:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,9,1
2025-04-21T10:45:00-00:00,2025-04-21T10:50:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,10,1
2025-04-21T10:50:00-00:00,2025-04-21T10:55:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,11,1
2025-04-21T10:55:00-00:00,2025-04-21T11:00:00-00:00,2025-04-21,04,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,12,1
2025-04-21T11:00:00-00:00,2025-04-21T11:05:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,1,1
2025-04-21T11:05:00-00:00,2025-04-21T11:10:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,2,1
2025-04-21T11:10:00-00:00,2025-04-21T11:15:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,3,1
2025-04-21T11:15:00-00:00,2025-04-21T11:20:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,4,1
2025-04-21T11:20:00-00:00,2025-04-21T11:25:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,5,1
2025-04-21T11:25:00-00:00,2025-04-21T11:30:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,6,1
2025-04-21T11:30:00-00:00,2025-04-21T11:35:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,7,1
2025-04-21T11:35:00-00:00,2025-04-21T11:40:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,8,1
2025-04-21T11:40:00-00:00,2025-04-21T11:45:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,9,1
2025-04-21T11:45:00-00:00,2025-04-21T11:50:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,10,1
2025-04-21T11:50:00-00:00,2025-04-21T11:55:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,11,1
2025-04-21T11:55:00-00:00,2025-04-21T12:00:00-00:00,2025-04-21,05,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,12,1
2025-04-21T12:00:00-00:00,2025-04-21T12:05:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,1,1
2025-04-21T12:05:00-00:00,2025-04-21T12:10:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,2,1
2025-04-21T12:10:00-00:00,2025-04-21T12:15:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,3,1
2025-04-21T12:15:00-00:00,2025-04-21T12:20:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,4,1
2025-04-21T12:20:00-00:00,2025-04-21T12:25:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,5,1
2025-04-21T12:25:00-00:00,2025-04-21T12:30:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,6,1
2025-04-21T12:30:00-00:00,2025-04-21T12:35:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,7,1
2025-04-21T12:35:00-00:00,2025-04-21T12:40:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,8,1
2025-04-21T12:40:00-00:00,2025-04-21T12:45:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,9,1
2025-04-21T12:45:00-00:00,2025-04-21T12:50:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,10,1
2025-04-21T12:50:00-00:00,2025-04-21T12:55:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,11,1
2025-04-21T12:55:00-00:00,2025-04-21T13:00:00-00:00,2025-04-21,06,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,12,1
2025-04-21T13:00:00-00:00,2025-04-21T13:05:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,1,1
2025-04-21T13:05:00-00:00,2025-04-21T13:10:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,2,1
2025-04-21T13:10:00-00:00,2025-04-21T13:15:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,3,1
2025-04-21T13:15:00-00:00,2025-04-21T13:20:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,4,1
2025-04-21T13:20:00-00:00,2025-04-21T13:25:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,5,1
2025-04-21T13:25:00-00:00,2025-04-21T13:30:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,6,1
2025-04-21T13:30:00-00:00,2025-04-21T13:35:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,7,1
2025-04-21T13:35:00-00:00,2025-04-21T13:40:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,8,1
2025-04-21T13:40:00-00:00,2025-04-21T13:45:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,9,1
2025-04-21T13:45:00-00:00,2025-04-21T13:50:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,10,1
2025-04-21T13:50:00-00:00,2025-04-21T13:55:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,11,1
2025-04-21T13:55:00-00:00,2025-04-21T14:00:00-00:00,2025-04-21,07,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,12,1
2025-04-21T14:00:00-00:00,2025-04-21T14:05:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,1,1
2025-04-21T14:05:00-00:00,2025-04-21T14:10:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,2,1
2025-04-21T14:10:00-00:00,2025-04-21T14:15:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,3,1
2025-04-21T14:15:00-00:00,2025-04-21T14:20:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,4,1
2025-04-21T14:20:00-00:00,2025-04-21T14:25:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,0,5,1
2025-04-21T14:25:00-00:00,2025-04-21T14:30:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-2.94337,6,1
2025-04-21T14:30:00-00:00,2025-04-21T14:35:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-7.42477,7,1
2025-04-21T14:35:00-00:00,2025-04-21T14:40:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-6.73494,8,1
2025-04-21T14:40:00-00:00,2025-04-21T14:45:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-6.30377,9,1
2025-04-21T14:45:00-00:00,2025-04-21T14:50:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-5.37234,10,1
2025-04-21T14:50:00-00:00,2025-04-21T14:55:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-6.13575,11,1
2025-04-21T14:55:00-00:00,2025-04-21T15:00:00-00:00,2025-04-21,08,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-6.50073,12,1
2025-04-21T15:00:00-00:00,2025-04-21T15:05:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-8.09828,1,1
2025-04-21T15:05:00-00:00,2025-04-21T15:10:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-9.49854,2,1
2025-04-21T15:10:00-00:00,2025-04-21T15:15:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-8.81785,3,1
2025-04-21T15:15:00-00:00,2025-04-21T15:20:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-9.13987,4,1
2025-04-21T15:20:00-00:00,2025-04-21T15:25:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-8.89356,5,1
2025-04-21T15:25:00-00:00,2025-04-21T15:30:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-8.99609,6,1
2025-04-21T15:30:00-00:00,2025-04-21T15:35:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-7.0178,7,1
2025-04-21T15:35:00-00:00,2025-04-21T15:40:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-7.01562,8,1
2025-04-21T15:40:00-00:00,2025-04-21T15:45:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-7.01398,9,1
2025-04-21T15:45:00-00:00,2025-04-21T15:50:00-00:00,2025-04-21,09,DLAP_SCE-APND,DLAP_SCE-APND,DLAP_SCE-APND,RTM,MCC,LMP_CONG_PRC,DLAP_SCE-APND,ALL_APNODES,0,-15.75893,10,1
