INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE
2025-04-21 19:20:00,2025-04-21 19:25:00,-3.84094
2025-04-21 19:25:00,2025-04-21 19:30:00,-4.01251
2025-04-21 19:30:00,2025-04-21 19:35:00,-4.71673
2025-04-21 19:35:00,2025-04-21 19:40:00,-7.25706
2025-04-21 19:40:00,2025-04-21 19:45:00,-7.37143
2025-04-21 19:45:00,2025-04-21 19:50:00,-7.2619
2025-04-21 19:50:00,2025-04-21 19:55:00,-4.39074
2025-04-21 19:55:00,2025-04-21 20:00:00,-5.92858
2025-04-21 20:00:00,2025-04-21 20:05:00,-5.92858
2025-04-21 20:05:00,2025-04-21 20:10:00,-4.58374
2025-04-21 20:10:00,2025-04-21 20:15:00,-5.09849
2025-04-21 20:15:00,2025-04-21 20:20:00,-7.51801
2025-04-21 20:20:00,2025-04-21 20:25:00,-7.36507
2025-04-21 20:25:00,2025-04-21 20:30:00,-7.5766
2025-04-21 20:30:00,2025-04-21 20:35:00,-5.87019
2025-04-21 20:35:00,2025-04-21 20:40:00,-4.88645
2025-04-21 20:40:00,2025-04-21 20:45:00,-4.14126
2025-04-21 20:45:00,2025-04-21 20:50:00,-6.55635
2025-04-21 20:50:00,2025-04-21 20:55:00,-6.25881
2025-04-21 20:55:00,2025-04-21 21:00:00,-5.80419
2025-04-21 21:00:00,2025-04-21 21:05:00,-6.52618
2025-04-21 21:05:00,2025-04-21 21:10:00,-6.86921
2025-04-21 21:10:00,2025-04-21 21:15:00,-6.87064
2025-04-21 21:15:00,2025-04-21 21:20:00,-8.0816
2025-04-21 21:20:00,2025-04-21 21:25:00,-12.08025
2025-04-21 21:25:00,2025-04-21 21:30:00,-12.08174
2025-04-21 21:30:00,2025-04-21 21:35:00,-11.17512
2025-04-21 21:35:00,2025-04-21 21:40:00,-10.13858
2025-04-21 21:40:00,2025-04-21 21:45:00,-10.08192
2025-04-21 21:45:00,2025-04-21 21:50:00,-11.01614
2025-04-21 21:50:00,2025-04-21 21:55:00,-8.82431
2025-04-21 21:55:00,2025-04-21 22:00:00,-9.46081
2025-04-21 22:00:00,2025-04-21 22:05:00,-6.75886
2025-04-21 22:05:00,2025-04-21 22:10:00,-6.7406
2025-04-21 22:10:00,2025-04-21 22:15:00,-6.24707
2025-04-21 22:15:00,2025-04-21 22:20:00,-6.34251
2025-04-21 22:20:00,2025-04-21 22:25:00,-6.94527
2025-04-21 22:25:00,2025-04-21 22:30:00,-7.40281
2025-04-21 22:30:00,2025-04-21 22:35:00,-6.75282
2025-04-21 22:35:00,2025-04-21 22:40:00,-7.52469
2025-04-21 22:40:00,2025-04-21 22:45:00,-13.18118
2025-04-21 22:45:00,2025-04-21 22:50:00,-13.41353
2025-04-21 22:50:00,2025-04-21 22:55:00,-14.97564
2025-04-21 22:55:00,2025-04-21 23:00:00,-16.19048
2025-04-21 23:00:00,2025-04-21 23:05:00,-19.67588
2025-04-21 23:05:00,2025-04-21 23:10:00,-19.19534
2025-04-21 23:10:00,2025-04-21 23:15:00,-20.55356
2025-04-21 23:15:00,2025-04-21 23:20:00,-20.05973
2025-04-21 23:20:00,2025-04-21 23:25:00,-17.11092
2025-04-21 23:25:00,2025-04-21 23:30:00,-21.22493
2025-04-21 23:30:00,2025-04-21 23:35:00,-20.05032
2025-04-21 23:35:00,2025-04-21 23:40:00,-19.56293
2025-04-21 23:40:00,2025-04-21 23:45:00,-15.90275
2025-04-21 23:45:00,2025-04-21 23:50:00,-14.39196
2025-04-21 23:50:00,2025-04-21 23:55:00,-14.27604
2025-04-21 23:55:00,2025-04-22 00:00:00,-19.01135
2025-04-22 00:00:00,2025-04-22 00:05:00,-18.19802
2025-04-22 00:05:00,2025-04-22 00:10:00,-18.00996
2025-04-22 00:10:00,2025-04-22 00:15:00,-18.55437
2025-04-22 00:15:00,2025-04-22 00:20:00,-14.83194
2025-04-22 00:20:00,2025-04-22 00:25:00,-11.87377
2025-04-22 00:25:00,2025-04-22 00:30:00,-5.74364
2025-04-22 00:30:00,2025-04-22 00:35:00,-0.97327
2025-04-22 00:35:00,2025-04-22 00:40:00,-0.35312
2025-04-22 00:40:00,2025-04-22 00:45:00,7.98772
2025-04-22 00:45:00,2025-04-22 00:50:00,6.65462
2025-04-22 00:50:00,2025-04-22 00:55:00,17.23941
2025-04-22 00:55:00,2025-04-22 01:00:00,19.1124
2025-04-22 01:00:00,2025-04-22 01:05:00,2.60174
2025-04-22 01:05:00,2025-04-22 01:10:00,3.02573
2025-04-22 01:10:00,2025-04-22 01:15:00,5.05634
2025-04-22 01:15:00,2025-04-22 01:20:00,13.42848
2025-04-22 01:20:00,2025-04-22 01:25:00,24.47738
2025-04-22 01:25:00,2025-04-22 01:30:00,32.38829
2025-04-22 01:30:00,2025-04-22 01:35:00,37.742
2025-04-22 01:35:00,2025-04-22 01:40:00,47.27701
2025-04-22 01:40:00,2025-04-22 01:45:00,51.67116
2025-04-22 01:45:00,2025-04-22 01:50:00,63.61915
2025-04-22 01:50:00,2025-04-22 01:55:00,73.56369
2025-04-22 01:55:00,2025-04-22 02:00:00,99.93289
2025-04-22 02:00:00,2025-04-22 02:05:00,38.97119
2025-04-22 02:05:00,2025-04-22 02:10:00,45.71534
2025-04-22 02:10:00,2025-04-22 02:15:00,51.93934
2025-04-22 02:15:00,2025-04-22 02:20:00,51.68782
2025-04-22 02:20:00,2025-04-22 02:25:00,48.55242
2025-04-22 02:25:00,2025-04-22 02:30:00,48.79686
2025-04-22 02:30:00,2025-04-22 02:35:00,48.86629
2025-04-22 02:35:00,2025-04-22 02:40:00,48.86629
2025-04-22 02:40:00,2025-04-22 02:45:00,48.86629
2025-04-22 02:45:00,2025-04-22 02:50:00,47.23579
2025-04-22 02:50:00,2025-04-22 02:55:00,46.90961
2025-04-22 02:55:00,2025-04-22 03:00:00,41.76446
2025-04-22 03:00:00,2025-04-22 03:05:00,47.95703
2025-04-22 03:05:00,2025-04-22 03:10:00,45.33682
2025-04-22 03:10:00,2025-04-22 03:15:00,47.44247
2025-04-22 03:15:00,2025-04-22 03:20:00,47.54509
2025-04-22 03:20:00,2025-04-22 03:25:00,51.06123
2025-04-22 03:25:00,2025-04-22 03:30:00,50.88337
2025-04-22 03:30:00,2025-04-22 03:35:00,49.96377
2025-04-22 03:35:00,2025-04-22 03:40:00,48.35595
2025-04-22 03:40:00,2025-04-22 03:45:00,48.19226
2025-04-22 03:45:00,2025-04-22 03:50:00,48.0053
2025-04-22 03:50:00,2025-04-22 03:55:00,49.64349
2025-04-22 03:55:00,2025-04-22 04:00:00,50.77417
2025-04-22 04:00:00,2025-04-22 04:05:00,60.52378
2025-04-22 04:05:00,2025-04-22 04:10:00,55.117
2025-04-22 04:10:00,2025-04-22 04:15:00,53.30404
2025-04-22 04:15:00,2025-04-22 04:20:00,52.41175
2025-04-22 04:20:00,2025-04-22 04:25:00,54.48622
2025-04-22 04:25:00,2025-04-22 04:30:00,54.07229
2025-04-22 04:30:00,2025-04-22 04:35:00,57.69951
2025-04-22 04:35:00,2025-04-22 04:40:00,57.46144
2025-04-22 04:40:00,2025-04-22 04:45:00,59.59752
2025-04-22 04:45:00,2025-04-22 04:50:00,59.80308
2025-04-22 04:50:00,2025-04-22 04:55:00,60.26238
2025-04-22 04:55:00,2025-04-22 05:00:00,63.39402
2025-04-22 05:00:00,2025-04-22 05:05:00,66.14991
2025-04-22 05:05:00,2025-04-22 05:10:00,66.14991
2025-04-22 05:10:00,2025-04-22 05:15:00,66.14991
2025-04-22 05:15:00,2025-04-22 05:20:00,66.31513
2025-04-22 05:20:00,2025-04-22 05:25:00,67.29444
2025-04-22 05:25:00,2025-04-22 05:30:00,64.23221
2025-04-22 05:30:00,2025-04-22 05:35:00,65.66958
2025-04-22 05:35:00,2025-04-22 05:40:00,69.18237
2025-04-22 05:40:00,2025-04-22 05:45:00,70.10883
2025-04-22 05:45:00,2025-04-22 05:50:00,70.42717
2025-04-22 05:50:00,2025-04-22 05:55:00,69.81482
2025-04-22 05:55:00,2025-04-22 06:00:00,72.47439
2025-04-22 06:00:00,2025-04-22 06:05:00,70.78923
2025-04-22 06:05:00,2025-04-22 06:10:00,70.36604
2025-04-22 06:10:00,2025-04-22 06:15:00,69.98299
2025-04-22 06:15:00,2025-04-22 06:20:00,70.2755
2025-04-22 06:20:00,2025-04-22 06:25:00,63.67773
2025-04-22 06:25:00,2025-04-22 06:30:00,64.01197
2025-04-22 06:30:00,2025-04-22 06:35:00,62.32582
2025-04-22 06:35:00,2025-04-22 06:40:00,62.91749
2025-04-22 06:40:00,2025-04-22 06:45:00,63.85561
2025-04-22 06:45:00,2025-04-22 06:50:00,64.90235
2025-04-22 06:50:00,2025-04-22 06:55:00,65.50396
2025-04-22 06:55:00,2025-04-22 07:00:00,67.59815
